invoice-number;branch;city;type-user;gender;category;cost of goods sold;sale;date;time;payment;review
453-12-7053;C;Houston;Normal;Male;Fashion accessories;$ 13.722;$ 144.081;3/10/2019;17:38;Credit card;6.5
296-11-7041;B;Chicago;Member;Female;Health and beauty;$ 2.707;$ 284.235;1/12/2019;20:07;Credit card;5.3
449-27-2918;B;Chicago;Member;Female;Sports and travel;$ 3.912;$ 41.076;3/26/2019;11:02;Credit card;9.6
891-01-7034;B;Chicago;Normal;Female;Electronic accessories;$ 44.826;$ 470.673;1/1/2019;19:07;Cash;6.7
744-09-5786;B;Chicago;Normal;Male;Electronic accessories;$ 13.206;$ 138.663;1/2/2019;18:50;Cash;7.6
727-17-0390;A;Nueva York;Normal;Female;Food and beverages;$ 31.805;$ 3.339.525;3/16/2019;12:43;Ewallet;4.8
568-88-3448;A;Nueva York;Normal;Male;Health and beauty;$ 25;$ 2.625;3/3/2019;15:09;Ewallet;5.5
187-83-5490;A;Nueva York;Member;Male;Electronic accessories;$ 8.308;$ 87.234;1/31/2019;13:47;Cash;4.7
767-54-1907;B;Chicago;Member;Female;Fashion accessories;$ 1.478;$ 15.519;2/13/2019;16:59;Cash;6.9
710-46-4433;B;Chicago;Member;Female;Food and beverages;$ 6.966;$ 73.143;2/15/2019;14:15;Credit card;4.5
533-33-5337;B;Chicago;Normal;Male;Electronic accessories;$ 7.939;$ 833.595;2/7/2019;20:24;Cash;6.2
325-90-8763;C;Houston;Member;Female;Electronic accessories;$ 4.657;$ 488.985;1/27/2019;13:58;Cash;7.6
729-46-7422;C;Houston;Normal;Male;Food and beverages;$ 3.589;$ 376.845;2/23/2019;16:52;Credit card;7.9
639-76-1242;C;Houston;Normal;Male;Food and beverages;$ 2.026;$ 21.273;2/3/2019;15:19;Cash;4.5
234-03-4040;B;Chicago;Member;Female;Food and beverages;$ 7.305;$ 767.025;3/3/2019;12:25;Credit card;8.7
326-71-2155;C;Houston;Normal;Female;Sports and travel;$ 2.958;$ 31.059;2/3/2019;10:02;Cash;6.1
320-32-8842;C;Houston;Member;Female;Food and beverages;$ 2.262;$ 23.751;3/17/2019;18:58;Cash;6.4
470-32-9057;A;Nueva York;Member;Male;Food and beverages;$ 2.567;$ 269.535;3/28/2019;15:31;Credit card;9.1
878-30-2331;C;Houston;Member;Female;Sports and travel;$ 5.455;$ 572.775;3/2/2019;11:22;Credit card;7.1
440-59-5691;C;Houston;Member;Female;Health and beauty;$ 26.005;$ 2.730.525;2/8/2019;13:12;Credit card;7.7
554-53-3790;B;Chicago;Normal;Male;Sports and travel;$ 22.212;$ 233.226;3/22/2019;18:33;Cash;4.5
746-19-0921;C;Houston;Normal;Male;Food and beverages;$ 2.158;$ 22.659;2/9/2019;10:02;Ewallet;7.2
233-34-0817;C;Houston;Member;Female;Electronic accessories;$ 9.884;$ 103.782;2/15/2019;11:21;Cash;8.4
767-05-1286;C;Houston;Member;Female;Home and lifestyle;$ 50.262;$ 527.751;1/23/2019;12:10;Ewallet;5.4
340-21-9136;A;Nueva York;Member;Female;Sports and travel;$ 1.602;$ 16.821;1/25/2019;11:40;Cash;9.7
405-31-3305;A;Nueva York;Member;Male;Fashion accessories;$ 4.313;$ 452.865;2/2/2019;18:31;Credit card;5.5
731-59-7531;B;Chicago;Member;Male;Health and beauty;$ 58.056;$ 609.588;3/30/2019;17:58;Cash;4.6
676-39-6028;A;Nueva York;Member;Female;Electronic accessories;$ 3.222;$ 33.831;3/30/2019;17:04;Cash;6.6
502-05-1910;A;Nueva York;Normal;Male;Health and beauty;$ 19.554;$ 205.317;2/25/2019;20:35;Credit card;6.3
485-30-8700;A;Nueva York;Normal;Female;Sports and travel;$ 1.663;$ 174.615;3/18/2019;16:10;Credit card;4.2
598-47-9715;C;Houston;Normal;Male;Electronic accessories;$ 33.628;$ 353.094;3/7/2019;16:54;Ewallet;4.4
701-69-8742;B;Chicago;Normal;Male;Sports and travel;$ 3.437;$ 360.885;3/16/2019;10:11;Ewallet;6.7
575-67-1508;A;Nueva York;Normal;Male;Electronic accessories;$ 386;$ 4.053;1/29/2019;11:26;Ewallet;6.7
541-08-3113;C;Houston;Normal;Male;Food and beverages;$ 52.776;$ 554.148;2/2/2019;20:29;Cash;8.4
246-11-3901;C;Houston;Normal;Female;Electronic accessories;$ 328;$ 3.444;2/15/2019;12:12;Cash;6.2
674-15-9296;A;Nueva York;Normal;Male;Sports and travel;$ 1.857;$ 194.985;1/8/2019;13:05;Ewallet;5
305-18-3552;B;Chicago;Member;Male;Home and lifestyle;$ 6.038;$ 63.399;2/12/2019;16:19;Cash;6
493-65-6248;C;Houston;Member;Female;Sports and travel;$ 3.698;$ 38.829;1/1/2019;19:48;Credit card;7
438-01-4015;B;Chicago;Member;Female;Sports and travel;$ 19.796;$ 207.858;3/21/2019;15:25;Ewallet;6.6
709-58-4068;B;Chicago;Normal;Female;Fashion accessories;$ 4.109;$ 431.445;2/28/2019;14:42;Cash;7.3
795-49-7276;A;Nueva York;Normal;Male;Fashion accessories;$ 1.486;$ 15.603;3/23/2019;18:59;Ewallet;8.3
556-72-8512;C;Houston;Normal;Male;Home and lifestyle;$ 2.296;$ 24.108;1/30/2019;20:47;Cash;4.3
627-95-3243;B;Chicago;Member;Female;Home and lifestyle;$ 69.912;$ 734.076;2/4/2019;13:21;Ewallet;9.8
686-41-0932;B;Chicago;Normal;Female;Fashion accessories;$ 694;$ 7.287;3/13/2019;19:48;Ewallet;8.2
510-09-5628;A;Nueva York;Member;Female;Fashion accessories;$ 1.966;$ 20.643;3/15/2019;18:20;Credit card;7.2
608-04-3797;B;Chicago;Member;Female;Health and beauty;$ 20.256;$ 212.688;3/5/2019;20:24;Ewallet;8.7
148-82-2527;C;Houston;Member;Female;Home and lifestyle;$ 1.212;$ 12.726;3/5/2019;13:44;Credit card;8.4
437-53-3084;B;Chicago;Normal;Male;Fashion accessories;$ 19.978;$ 209.769;2/26/2019;11:48;Ewallet;7.1
632-32-4574;B;Chicago;Normal;Male;Sports and travel;$ 60.736;$ 637.728;3/20/2019;14:14;Cash;5.5
556-97-7101;C;Houston;Normal;Female;Electronic accessories;$ 12.644;$ 132.762;1/1/2019;15:51;Cash;8.5
862-59-8517;C;Houston;Normal;Female;Food and beverages;$ 54.144;$ 568.512;1/27/2019;11:17;Cash;6.2
401-18-8016;B;Chicago;Member;Female;Sports and travel;$ 9.813;$ 1.030.365;1/21/2019;17:36;Cash;8.9
420-18-8989;A;Nueva York;Member;Female;Sports and travel;$ 41.216;$ 432.768;2/2/2019;15:47;Cash;9.6
277-63-2961;B;Chicago;Member;Male;Sports and travel;$ 7.397;$ 776.685;2/3/2019;15:53;Credit card;5.4
573-98-8548;C;Houston;Member;Female;Fashion accessories;$ 319;$ 33.495;1/5/2019;12:40;Ewallet;9.1
620-02-2046;C;Houston;Normal;Male;Home and lifestyle;$ 1.388;$ 14.574;1/27/2019;19:48;Ewallet;9
282-35-2475;B;Chicago;Normal;Female;Sports and travel;$ 18.662;$ 195.951;3/25/2019;17:53;Cash;6.3
511-54-3087;B;Chicago;Normal;Male;Sports and travel;$ 8.845;$ 928.725;2/25/2019;16:36;Credit card;9.5
726-29-6793;A;Nueva York;Member;Male;Electronic accessories;$ 19.344;$ 203.112;1/28/2019;20:54;Ewallet;9.8
387-49-4215;B;Chicago;Member;Female;Sports and travel;$ 1.455;$ 152.775;1/8/2019;12:50;Cash;6.7
862-17-9201;B;Chicago;Normal;Female;Food and beverages;$ 5.043;$ 529.515;1/29/2019;10:48;Credit card;7.7
291-21-5991;B;Chicago;Member;Male;Health and beauty;$ 30.645;$ 3.217.725;3/29/2019;14:28;Cash;7
602-80-9671;C;Houston;Member;Female;Home and lifestyle;$ 957;$ 100.485;2/9/2019;17:15;Credit card;5.1
347-72-6115;B;Chicago;Member;Female;Sports and travel;$ 63.518;$ 666.939;1/16/2019;18:03;Credit card;6.2
209-61-0206;A;Nueva York;Normal;Female;Home and lifestyle;$ 21.455;$ 2.252.775;1/5/2019;17:29;Ewallet;6.1
595-27-4851;A;Nueva York;Normal;Female;Fashion accessories;$ 37.996;$ 398.958;1/27/2019;18:05;Ewallet;9.3
189-52-0236;A;Nueva York;Normal;Male;Electronic accessories;$ 69.685;$ 7.316.925;3/14/2019;12:07;Cash;7.6
503-07-0930;C;Houston;Member;Male;Sports and travel;$ 40.873;$ 4.291.665;2/23/2019;19:49;Credit card;8.2
413-20-6708;C;Houston;Member;Female;Fashion accessories;$ 5.147;$ 540.435;3/18/2019;15:52;Ewallet;8.5
425-85-2085;B;Chicago;Member;Male;Health and beauty;$ 2.743;$ 288.015;3/29/2019;16:48;Ewallet;9.8
521-18-7827;C;Houston;Member;Male;Home and lifestyle;$ 19.695;$ 2.067.975;1/22/2019;20:46;Credit card;8.7
220-28-1851;A;Nueva York;Normal;Male;Home and lifestyle;$ 6.946;$ 72.933;3/1/2019;18:14;Ewallet;9.7
600-38-9738;C;Houston;Member;Male;Sports and travel;$ 3.596;$ 37.758;1/17/2019;15:05;Credit card;4.3
734-91-1155;B;Chicago;Normal;Female;Electronic accessories;$ 13.713;$ 1.439.865;3/26/2019;10:34;Credit card;7.7
451-28-5717;C;Houston;Member;Female;Home and lifestyle;$ 49.902;$ 523.971;3/20/2019;11:23;Cash;7.3
609-81-8548;A;Nueva York;Member;Female;Home and lifestyle;$ 22.464;$ 235.872;2/6/2019;13:55;Credit card;5.9
133-14-7229;C;Houston;Normal;Male;Health and beauty;$ 12.574;$ 132.027;1/1/2019;11:43;Cash;5
534-01-4457;A;Nueva York;Normal;Male;Food and beverages;$ 49.026;$ 514.773;1/27/2019;14:36;Credit card;8
719-89-8991;A;Nueva York;Member;Female;Sports and travel;$ 45.705;$ 4.799.025;2/25/2019;16:03;Ewallet;7.1
286-62-6248;B;Chicago;Normal;Male;Fashion accessories;$ 15.684;$ 164.682;1/16/2019;20:03;Credit card;9
339-38-9982;B;Chicago;Member;Male;Fashion accessories;$ 11.972;$ 125.706;1/13/2019;14:55;Ewallet;6.7
827-44-5872;B;Chicago;Member;Female;Food and beverages;$ 5.436;$ 57.078;2/7/2019;11:28;Credit card;6.1
827-77-7633;A;Nueva York;Normal;Male;Sports and travel;$ 88.281;$ 9.269.505;2/17/2019;19:41;Cash;9.3
287-83-1405;A;Nueva York;Normal;Male;Health and beauty;$ 15.258;$ 160.209;2/12/2019;19:01;Ewallet;7
435-13-4908;A;Nueva York;Member;Male;Fashion accessories;$ 69.344;$ 728.112;1/24/2019;18:04;Credit card;7.2
857-67-9057;B;Chicago;Normal;Male;Electronic accessories;$ 2.295;$ 240.975;2/6/2019;19:20;Ewallet;8.2
236-27-1144;C;Houston;Normal;Female;Food and beverages;$ 14.679;$ 1.541.295;3/26/2019;10:31;Ewallet;8.4
892-05-6689;A;Nueva York;Normal;Female;Home and lifestyle;$ 1.416;$ 14.868;3/11/2019;13:28;Ewallet;6.2
583-41-4548;C;Houston;Normal;Male;Home and lifestyle;$ 11.669;$ 1.225.245;2/7/2019;11:36;Ewallet;7.4
339-12-4827;B;Chicago;Member;Female;Fashion accessories;$ 7.396;$ 77.658;1/5/2019;11:32;Credit card;5
643-38-7867;A;Nueva York;Normal;Male;Home and lifestyle;$ 9.794;$ 102.837;3/7/2019;11:44;Ewallet;6.9
308-81-0538;A;Nueva York;Normal;Female;Fashion accessories;$ 2.922;$ 30.681;2/25/2019;17:16;Credit card;4.9
358-88-9262;C;Houston;Member;Female;Food and beverages;$ 52.488;$ 551.124;2/1/2019;18:43;Ewallet;5.1
460-35-4390;A;Nueva York;Normal;Male;Home and lifestyle;$ 9.204;$ 96.642;1/22/2019;11:00;Ewallet;9.1
343-87-0864;C;Houston;Member;Male;Health and beauty;$ 7.588;$ 79.674;1/3/2019;10:30;Credit card;7.1
173-50-1108;B;Chicago;Member;Female;Sports and travel;$ 8.072;$ 84.756;2/13/2019;12:14;Credit card;5
243-47-2663;C;Houston;Member;Male;Electronic accessories;$ 11.262;$ 118.251;1/28/2019;16:43;Credit card;5.5
841-18-8232;B;Chicago;Normal;Female;Food and beverages;$ 712;$ 7.476;1/5/2019;20:40;Credit card;9.2
701-23-5550;B;Chicago;Member;Male;Home and lifestyle;$ 15.524;$ 163.002;3/19/2019;13:40;Ewallet;4.9
647-50-1224;A;Nueva York;Normal;Female;Fashion accessories;$ 2.942;$ 30.891;1/12/2019;16:23;Ewallet;8.9
541-48-8554;A;Nueva York;Normal;Male;Sports and travel;$ 54.855;$ 5.759.775;1/7/2019;12:08;Credit card;6
539-21-7227;B;Chicago;Normal;Female;Sports and travel;$ 2.577;$ 270.585;1/26/2019;17:45;Cash;4.2
213-32-1216;A;Nueva York;Normal;Female;Electronic accessories;$ 39.636;$ 416.178;1/23/2019;10:28;Cash;7.3
747-58-7183;B;Chicago;Normal;Male;Fashion accessories;$ 17.181;$ 1.804.005;2/9/2019;20:31;Ewallet;6.5
582-52-8065;B;Chicago;Normal;Female;Fashion accessories;$ 48.879;$ 5.132.295;2/22/2019;10:49;Cash;8.9
210-57-1719;B;Chicago;Normal;Female;Health and beauty;$ 52.416;$ 550.368;2/5/2019;12:34;Cash;9.7
399-69-4630;C;Houston;Normal;Male;Electronic accessories;$ 13.326;$ 139.923;3/7/2019;10:23;Credit card;8.6
134-75-2619;A;Nueva York;Member;Male;Electronic accessories;$ 13.524;$ 142.002;3/25/2019;18:51;Cash;6.9
356-44-8813;B;Chicago;Normal;Male;Home and lifestyle;$ 11.244;$ 118.062;1/20/2019;13:45;Credit card;7.7
198-66-9832;B;Chicago;Member;Female;Fashion accessories;$ 14.408;$ 151.284;2/4/2019;19:38;Cash;9.5
283-26-5248;C;Houston;Member;Female;Food and beverages;$ 9.852;$ 103.446;1/30/2019;20:23;Ewallet;4.5
712-39-0363;A;Nueva York;Member;Male;Food and beverages;$ 24.996;$ 262.458;1/2/2019;15:24;Ewallet;5.6
218-59-9410;A;Nueva York;Member;Female;Home and lifestyle;$ 21.726;$ 228.123;3/29/2019;16:54;Ewallet;8.2
174-75-0888;B;Chicago;Normal;Male;Electronic accessories;$ 19.422;$ 203.931;3/14/2019;12:32;Cash;7.3
866-99-7614;C;Houston;Normal;Male;Food and beverages;$ 892;$ 9.366;2/11/2019;15:42;Credit card;4.4
134-54-4720;B;Chicago;Normal;Female;Electronic accessories;$ 33.936;$ 356.328;1/30/2019;13:58;Ewallet;5.7
760-90-2357;A;Nueva York;Member;Male;Electronic accessories;$ 44.706;$ 469.413;3/20/2019;15:08;Ewallet;5
514-37-2845;B;Chicago;Normal;Male;Fashion accessories;$ 1.985;$ 208.425;3/20/2019;13:02;Cash;9
698-98-5964;A;Nueva York;Normal;Female;Food and beverages;$ 8.121;$ 852.705;1/17/2019;13:01;Credit card;6.3
718-57-9773;C;Houston;Normal;Female;Sports and travel;$ 4.933;$ 517.965;2/3/2019;16:40;Credit card;9.4
651-88-7328;A;Nueva York;Normal;Female;Fashion accessories;$ 59.166;$ 621.243;1/1/2019;13:55;Cash;7.7
241-11-2261;B;Chicago;Normal;Female;Fashion accessories;$ 55.902;$ 586.971;1/10/2019;10:33;Credit card;5.5
408-26-9866;C;Houston;Normal;Female;Sports and travel;$ 51.786;$ 543.753;3/2/2019;16:42;Ewallet;4.1
834-83-1826;B;Chicago;Member;Female;Home and lifestyle;$ 4.102;$ 43.071;2/25/2019;17:16;Credit card;7.6
343-61-3544;B;Chicago;Member;Male;Sports and travel;$ 2.667;$ 280.035;1/29/2019;11:48;Cash;8.6
239-48-4278;A;Nueva York;Member;Male;Food and beverages;$ 7.091;$ 744.555;3/10/2019;19:35;Ewallet;8.3
355-34-6244;B;Chicago;Normal;Male;Food and beverages;$ 14.478;$ 152.019;1/13/2019;19:55;Credit card;8.1
550-84-8664;A;Nueva York;Normal;Male;Sports and travel;$ 42.955;$ 4.510.275;3/22/2019;14:33;Credit card;8.6
339-96-8318;B;Chicago;Member;Male;Fashion accessories;$ 56.917;$ 5.976.285;3/1/2019;19:49;Ewallet;6.3
458-61-0011;B;Chicago;Normal;Male;Food and beverages;$ 2.412;$ 25.326;2/20/2019;18:43;Cash;5.8
592-34-6155;C;Houston;Normal;Male;Food and beverages;$ 12.708;$ 133.434;1/14/2019;14:43;Ewallet;6.2
797-88-0493;A;Nueva York;Normal;Female;Health and beauty;$ 25.708;$ 269.934;3/26/2019;13:54;Cash;7.7
207-73-1363;B;Chicago;Normal;Male;Health and beauty;$ 13.902;$ 145.971;3/1/2019;12:15;Ewallet;8.1
390-31-6381;C;Houston;Normal;Male;Food and beverages;$ 8.166;$ 85.743;1/7/2019;12:37;Cash;7.3
443-82-0585;A;Nueva York;Member;Female;Health and beauty;$ 31.072;$ 326.256;2/1/2019;19:54;Cash;8.4
339-18-7061;C;Houston;Member;Female;Fashion accessories;$ 18.596;$ 195.258;2/13/2019;15:06;Credit card;8
359-90-3665;B;Chicago;Member;Female;Fashion accessories;$ 7.232;$ 75.936;1/14/2019;18:03;Credit card;9.5
375-72-3056;B;Chicago;Normal;Male;Sports and travel;$ 18.918;$ 198.639;1/19/2019;15:58;Ewallet;7
127-47-6963;A;Nueva York;Normal;Male;Health and beauty;$ 20.684;$ 217.182;3/9/2019;13:53;Credit card;9.8
278-86-2735;A;Nueva York;Normal;Female;Food and beverages;$ 15.702;$ 164.871;3/27/2019;14:03;Cash;9.2
695-28-6250;A;Nueva York;Normal;Female;Sports and travel;$ 2.153;$ 226.065;2/4/2019;16:38;Ewallet;7.7
379-17-6588;C;Houston;Normal;Male;Fashion accessories;$ 5.961;$ 625.905;3/14/2019;11:07;Cash;5.3
227-50-3718;A;Nueva York;Normal;Male;Health and beauty;$ 731;$ 76.755;3/4/2019;12:23;Cash;4.4
302-15-2162;C;Houston;Member;Male;Health and beauty;$ 27.918;$ 293.139;3/3/2019;10:54;Credit card;4.3
788-07-8452;C;Houston;Member;Female;Home and lifestyle;$ 16.968;$ 178.164;1/27/2019;17:38;Ewallet;9.4
560-49-6611;A;Nueva York;Member;Female;Sports and travel;$ 4.558;$ 47.859;2/7/2019;14:13;Cash;9.8
880-35-0356;A;Nueva York;Member;Female;Sports and travel;$ 2.256;$ 23.688;2/5/2019;11:51;Ewallet;4.8
585-11-6748;B;Chicago;Member;Male;Sports and travel;$ 2.904;$ 30.492;3/15/2019;13:05;Cash;5.3
470-31-3286;B;Chicago;Normal;Male;Health and beauty;$ 4.446;$ 46.683;3/1/2019;11:30;Credit card;8.7
152-68-2907;A;Nueva York;Normal;Male;Food and beverages;$ 1.566;$ 16.443;2/15/2019;13:30;Credit card;9.5
123-35-4896;C;Houston;Normal;Female;Sports and travel;$ 41.994;$ 440.937;2/17/2019;19:11;Ewallet;5.3
258-69-7810;C;Houston;Normal;Female;Fashion accessories;$ 18.425;$ 1.934.625;1/26/2019;18:53;Cash;9.2
334-64-2006;A;Nueva York;Member;Female;Home and lifestyle;$ 14.064;$ 147.672;3/24/2019;14:22;Ewallet;9.6
219-61-4139;C;Houston;Normal;Male;Electronic accessories;$ 8.308;$ 87.234;1/23/2019;17:16;Ewallet;6.4
881-41-7302;C;Houston;Normal;Female;Fashion accessories;$ 6.499;$ 682.395;1/26/2019;10:06;Credit card;4.5
373-09-4567;C;Houston;Normal;Male;Food and beverages;$ 7.756;$ 81.438;3/14/2019;20:35;Ewallet;6.9
642-30-6693;B;Chicago;Normal;Female;Sports and travel;$ 32.706;$ 343.413;3/17/2019;13:54;Ewallet;7.8
484-22-8230;C;Houston;Member;Female;Fashion accessories;$ 36.323;$ 3.813.915;1/8/2019;20:08;Cash;4.5
830-58-2383;B;Chicago;Normal;Male;Home and lifestyle;$ 127;$ 13.335;2/8/2019;15:26;Cash;8.6
559-98-9873;A;Nueva York;Member;Female;Fashion accessories;$ 37.555;$ 3.943.275;2/10/2019;12:56;Ewallet;5.2
544-32-5024;C;Houston;Member;Female;Food and beverages;$ 19.916;$ 209.118;3/28/2019;19:16;Credit card;6.4
318-12-0304;A;Nueva York;Normal;Male;Fashion accessories;$ 3.061;$ 321.405;1/23/2019;12:20;Ewallet;5.2
349-97-8902;B;Chicago;Member;Male;Food and beverages;$ 11.578;$ 121.569;1/17/2019;10:37;Ewallet;8.9
421-95-9805;A;Nueva York;Normal;Female;Electronic accessories;$ 2.896;$ 30.408;2/7/2019;10:18;Credit card;6.2
277-35-5865;C;Houston;Member;Female;Food and beverages;$ 89.073;$ 9.352.665;3/9/2019;11:23;Cash;6.7
789-23-8625;B;Chicago;Member;Male;Fashion accessories;$ 27.966;$ 293.643;1/24/2019;11:45;Cash;7.2
284-54-4231;C;Houston;Member;Male;Sports and travel;$ 8.093;$ 849.765;1/19/2019;16:08;Credit card;9
443-59-0061;A;Nueva York;Member;Male;Food and beverages;$ 6.745;$ 708.225;2/3/2019;11:25;Ewallet;4.2
509-29-3912;A;Nueva York;Member;Female;Sports and travel;$ 34.848;$ 365.904;3/20/2019;12:24;Ewallet;4.2
327-40-9673;B;Chicago;Member;Male;Sports and travel;$ 4.356;$ 45.738;1/13/2019;19:51;Cash;6.9
840-19-2096;C;Houston;Member;Male;Electronic accessories;$ 43.955;$ 4.615.275;3/14/2019;18:10;Ewallet;4.4
828-46-6863;A;Nueva York;Member;Male;Food and beverages;$ 59.118;$ 620.739;1/23/2019;11:22;Credit card;4
641-96-3695;C;Houston;Member;Female;Fashion accessories;$ 26.076;$ 273.798;2/7/2019;17:55;Ewallet;8.5
420-97-3340;A;Nueva York;Normal;Female;Food and beverages;$ 21.504;$ 225.792;3/28/2019;15:30;Credit card;9.2
436-54-4512;A;Nueva York;Member;Female;Food and beverages;$ 9.161;$ 961.905;3/20/2019;19:44;Cash;9.8
670-79-6321;B;Chicago;Member;Female;Home and lifestyle;$ 66.213;$ 6.952.365;1/17/2019;15:27;Credit card;4.9
852-62-7105;B;Chicago;Normal;Female;Fashion accessories;$ 8.325;$ 874.125;1/12/2019;11:25;Credit card;4.4
598-06-7312;B;Chicago;Member;Male;Fashion accessories;$ 9.135;$ 959.175;2/16/2019;15:42;Cash;6.8
135-13-8269;B;Chicago;Member;Female;Food and beverages;$ 15.776;$ 165.648;1/26/2019;16:04;Cash;9.1
816-57-2053;A;Nueva York;Normal;Male;Sports and travel;$ 12.174;$ 127.827;3/9/2019;12:37;Ewallet;8.7
628-90-8624;B;Chicago;Member;Male;Health and beauty;$ 8.258;$ 86.709;3/14/2019;14:41;Cash;5
856-66-2701;A;Nueva York;Member;Male;Home and lifestyle;$ 1.599;$ 167.895;1/25/2019;14:19;Ewallet;7.5
308-39-1707;A;Nueva York;Normal;Female;Fashion accessories;$ 1.209;$ 126.945;1/26/2019;18:19;Credit card;8.2
149-61-1929;A;Nueva York;Normal;Male;Sports and travel;$ 6.419;$ 673.995;1/19/2019;14:08;Credit card;6.7
655-07-2265;A;Nueva York;Normal;Male;Electronic accessories;$ 23.493;$ 2.466.765;3/5/2019;16:38;Ewallet;5.4
589-02-8023;A;Nueva York;Member;Male;Food and beverages;$ 16.754;$ 175.917;1/15/2019;10:54;Credit card;7
420-04-7590;B;Chicago;Normal;Male;Home and lifestyle;$ 2.991;$ 314.055;3/18/2019;11:29;Ewallet;4.7
182-88-2763;B;Chicago;Member;Male;Food and beverages;$ 23.973;$ 2.517.165;3/20/2019;19:28;Credit card;5
188-55-0967;B;Chicago;Member;Male;Health and beauty;$ 6.647;$ 697.935;1/15/2019;15:01;Credit card;5
610-46-4100;A;Nueva York;Normal;Male;Health and beauty;$ 20.265;$ 2.127.825;3/3/2019;20:31;Credit card;6
318-81-2368;C;Houston;Normal;Female;Electronic accessories;$ 462;$ 4.851;3/19/2019;12:16;Cash;6.3
364-33-8584;B;Chicago;Member;Female;Food and beverages;$ 8.815;$ 925.575;3/8/2019;15:27;Cash;8.5
665-63-9737;B;Chicago;Normal;Male;Fashion accessories;$ 15.726;$ 165.123;2/27/2019;17:36;Ewallet;7.5
695-09-5146;B;Chicago;Member;Female;Food and beverages;$ 29.637;$ 3.111.885;2/23/2019;20:00;Ewallet;6.4
155-45-3814;C;Houston;Member;Female;Electronic accessories;$ 7.084;$ 74.382;3/19/2019;15:29;Ewallet;4.7
794-32-2436;B;Chicago;Member;Male;Electronic accessories;$ 11.134;$ 116.907;3/27/2019;15:08;Ewallet;6
131-15-8856;C;Houston;Member;Female;Food and beverages;$ 58.016;$ 609.168;3/30/2019;19:26;Credit card;4
273-84-2164;C;Houston;Member;Male;Electronic accessories;$ 6.025;$ 632.625;2/16/2019;15:53;Ewallet;5.5
706-36-6154;A;Nueva York;Member;Male;Home and lifestyle;$ 17.424;$ 182.952;1/18/2019;18:43;Ewallet;8.7
778-89-7974;C;Houston;Normal;Male;Health and beauty;$ 42.126;$ 442.323;3/30/2019;14:58;Cash;7.4
574-31-8277;B;Chicago;Member;Male;Fashion accessories;$ 3.363;$ 353.115;3/20/2019;19:55;Cash;5.6
859-71-0933;C;Houston;Member;Female;Sports and travel;$ 3.098;$ 32.529;1/16/2019;15:10;Cash;6.3
740-11-5257;C;Houston;Normal;Male;Electronic accessories;$ 2.474;$ 25.977;2/24/2019;16:44;Cash;7.1
369-82-2676;B;Chicago;Normal;Male;Electronic accessories;$ 3.783;$ 397.215;1/15/2019;18:22;Ewallet;7.8
563-47-4072;B;Chicago;Normal;Female;Health and beauty;$ 33.486;$ 351.603;1/22/2019;11:52;Cash;9.9
742-04-5161;A;Nueva York;Member;Male;Home and lifestyle;$ 7.278;$ 76.419;2/3/2019;17:24;Cash;7.3
149-15-7606;B;Chicago;Member;Male;Sports and travel;$ 33.588;$ 352.674;3/6/2019;15:31;Ewallet;5.1
133-77-3154;B;Chicago;Member;Male;Fashion accessories;$ 24.072;$ 252.756;2/16/2019;18:04;Credit card;9.4
169-52-4504;A;Nueva York;Normal;Female;Electronic accessories;$ 4.707;$ 494.235;3/14/2019;14:13;Credit card;5.8
250-81-7186;C;Houston;Normal;Female;Electronic accessories;$ 9.969;$ 1.046.745;2/27/2019;10:23;Credit card;8
562-12-5430;A;Nueva York;Member;Female;Fashion accessories;$ 26.445;$ 2.776.725;1/18/2019;10:11;Ewallet;7.9
816-72-8853;A;Nueva York;Member;Female;Sports and travel;$ 13.965;$ 1.466.325;1/29/2019;15:48;Cash;5.9
491-38-3499;A;Nueva York;Member;Male;Fashion accessories;$ 5.545;$ 582.225;2/26/2019;17:46;Credit card;4.9
322-02-2271;B;Chicago;Normal;Female;Sports and travel;$ 12.891;$ 1.353.555;2/3/2019;11:46;Cash;9.3
842-29-4695;C;Houston;Member;Male;Sports and travel;$ 11.998;$ 125.979;1/16/2019;12:07;Credit card;7.9
725-67-2480;B;Chicago;Member;Female;Fashion accessories;$ 3.525;$ 370.125;3/24/2019;18:14;Credit card;5.9
641-51-2661;C;Houston;Member;Female;Food and beverages;$ 871;$ 91.455;2/12/2019;14:45;Credit card;9.9
714-02-3114;C;Houston;Normal;Female;Sports and travel;$ 1.976;$ 20.748;2/21/2019;11:39;Cash;7.7
518-17-2983;A;Nueva York;Normal;Female;Fashion accessories;$ 19.452;$ 204.246;2/4/2019;15:44;Ewallet;7.6
779-42-2410;B;Chicago;Member;Male;Food and beverages;$ 17.322;$ 181.881;2/20/2019;13:06;Ewallet;7.7
190-14-3147;B;Chicago;Normal;Female;Health and beauty;$ 7.188;$ 75.474;2/23/2019;20:43;Ewallet;6.4
408-66-6712;C;Houston;Member;Female;Health and beauty;$ 28.626;$ 300.573;2/16/2019;14:19;Ewallet;4.4
679-22-6530;B;Chicago;Normal;Female;Sports and travel;$ 8.124;$ 85.302;1/17/2019;10:01;Credit card;4.1
588-47-8641;A;Nueva York;Member;Male;Fashion accessories;$ 5.604;$ 58.842;1/14/2019;19:30;Ewallet;4.4
